bedroom,bathrooms,area,furnishing,floor_number,parking,powerbackup,gate_community,location,rent,location_encoded,furnishing_encoded
2,2,800.0,Unfurnished,7,1,2,No,Majestique Manhattan,14000.0,177,2
2,2,1062.0,Unfurnished,1,1,0,No,Mahindra Antheia,22000.0,174,2
2,2,748.0,Semifurnished,6,1,2,Yes,Siddhashila Eela,13500.0,296,1
3,3,1145.0,Semifurnished,5,1,1,Yes,Kolte Patil Western Avenue,23500.0,146,1
1,1,0.0,Unfurnished,4,0,0,No,Dheeraj Jade Residences,12000.0,60,2
3,3,980.0,Semifurnished,7,1,1,Yes,Kalpataru Harmony,23000.0,121,1
2,2,9511.0,Semifurnished,1,1,1,No,Paranjape Blue Ridge,32000.0,236,1
1,1,0.0,Semifurnished,8,1,0,Yes,Paranjape Blue Ridge,15500.0,236,1
1,1,445.0,Semifurnished,6,1,1,Yes,Dreams Aakruti,9500.0,63,1
4,4,0.0,Furnished,1,1,2,Yes,Panchshil Towers,70000.0,232,0
2,2,907.0,Semifurnished,9,1,2,Yes,Bramhacorp F Residences,25000.0,45,1
2,2,850.0,Semifurnished,2,1,2,Yes,Neco Gardens,22000.0,211,1
2,2,0.0,Furnished,4,2,0,No,Pimpri Chinchwad,17000.0,247,0
2,2,1000.0,Furnished,7,1,1,Yes,Panchshil Satellite Towers,45000.0,231,0
2,2,900.0,Semifurnished,1,1,2,Yes,Rama Melange Residences,16000.0,272,1
2,2,900.0,Furnished,3,2,1,Yes,Kukreja Heritage,21000.0,150,0
2,2,0.0,Unfurnished,8,1,0,No,Kumar Primavera,22000.0,156,2
2,3,0.0,Semifurnished,0,0,0,No,Manjari Budruk,8000.0,180,1
2,2,0.0,Semifurnished,1,2,0,Yes,DSK Gandhakosh,25000.0,55,1
1,1,439.0,Furnished,1,1,2,Yes,Paranjape Blue Ridge,16000.0,236,0
2,2,835.0,Semifurnished,4,1,2,Yes,Runwal Seagull,15000.0,282,1
2,2,845.0,Semifurnished,8,1,1,Yes,Megapolis Sunway,14500.0,197,1
2,2,1000.0,Unfurnished,1,1,2,Yes,AG Imperial Towers,17000.0,2,2
2,2,850.0,Unfurnished,8,1,2,Yes,Pristine Prolife,14000.0,258,2
1,1,487.0,Semifurnished,7,1,1,Yes,ARV New Town,12000.0,5,1
2,2,1000.0,Semifurnished,3,0,0,No,Wakad,30000.0,335,1
5,6,2400.0,Semifurnished,1,2,2,Yes,Paranjape Blue Ridge,70000.0,236,1
2,2,1000.0,Semifurnished,3,1,1,Yes,Bramha Sun City Phase 2,26000.0,44,1
2,2,950.0,Semifurnished,8,1,2,Yes,K Raheja Vistas Premiere,27000.0,115,1
2,2,600.0,Unfurnished,8,1,1,Yes,Pride World City,13000.0,255,2
3,3,1300.0,Unfurnished,8,1,2,Yes,Marvel Arco,35000.0,187,2
1,1,0.0,Unfurnished,2,0,0,No,Chandan Nagar,7500.0,48,2
2,2,850.0,Unfurnished,0,1,0,No,Pimple Gurav,15000.0,246,2
3,2,0.0,Furnished,3,1,0,Yes,Amanora Trendy Homes,27000.0,19,0
2,2,0.0,Semifurnished,1,1,0,No,Megapolis Sunway,17000.0,197,1
2,2,890.0,Semifurnished,7,1,1,Yes,Clover Heights,21500.0,50,1
3,3,1400.0,Semifurnished,1,1,1,Yes,Bramhacorp F Residences,35000.0,45,1
1,1,0.0,Unfurnished,3,0,0,No,Mundhwa,5500.0,206,2
2,2,1047.0,Semifurnished,2,1,2,Yes,Marvel Ganga Fria Phase 1,18000.0,190,1
2,2,0.0,Semifurnished,5,1,1,Yes,DNV Elite Homes,16000.0,54,1
2,2,1150.0,Furnished,1,1,2,Yes,Paranjape Blue Ridge,24000.0,236,0
1,1,0.0,Unfurnished,2,0,0,No,Hadapsar,8500.0,105,2
1,1,0.0,Unfurnished,3,1,0,Yes,Mahesh Society,9000.0,173,2
2,2,1224.0,Semifurnished,8,1,1,Yes,Nyati Eternity,14800.0,222,1
3,3,1100.0,Unfurnished,7,1,2,Yes,Clover Village,35000.0,52,2
1,1,400.0,Furnished,1,1,2,Yes,Hadapsar,13000.0,105,0
4,4,3800.0,Unfurnished,6,1,1,Yes,Panchshil Eon Waterfront,90000.0,229,2
2,2,668.0,Unfurnished,1,1,1,Yes,Hill Shire,12000.0,108,2
2,2,630.0,Unfurnished,4,1,0,Yes,ARV Imperia,12000.0,4,2
2,2,980.0,Unfurnished,6,1,2,No,Kumar Park Infinia,18000.0,153,2
3,3,1750.0,Semifurnished,1,2,2,Yes,Kolte Patil 24K Glitterati,52500.0,140,1
4,4,2100.0,Furnished,5,2,2,Yes,Kolte Patil 24K Glitterati,90000.0,140,0
3,2,1200.0,Unfurnished,6,1,0,No,Om The Island,22500.0,224,2
3,3,80.37,Unfurnished,6,2,2,Yes,Nyati Elysia,30000.0,218,2
1,1,0.0,Unfurnished,0,0,0,No,Keshav Nagar,6500.0,133,2
2,2,798.0,Unfurnished,5,1,1,Yes,Forest County,28000.0,69,2
2,2,0.0,Unfurnished,4,0,2,Yes,Neo City,12000.0,212,2
2,2,860.0,Unfurnished,4,1,1,Yes,Devi Sacred Heart Town,21000.0,57,2
2,2,0.0,Semifurnished,0,1,0,No,Wagholi,7000.0,334,1
2,2,0.0,Furnished,2,1,0,No,Global E Homes,20000.0,92,0
2,2,780.0,Semifurnished,5,1,0,Yes,Puraniks Abitante,20000.0,261,1
2,2,935.0,Furnished,6,1,1,Yes,Peninsula Ashok Meadows,23000.0,242,0
1,1,450.0,Semifurnished,5,1,1,Yes,Magarpatta Heliconia,19700.0,171,1
1,1,0.0,Semifurnished,0,1,0,No,Bhairav Nagar,9000.0,35,1
2,2,0.0,Furnished,1,1,1,Yes,Ravinanda Skylights,12000.0,273,0
2,2,0.0,Semifurnished,3,1,0,No,Wakad,18000.0,335,1
2,2,849.0,Semifurnished,8,1,2,Yes,Om The Island,17000.0,224,1
1,1,440.0,Furnished,1,1,2,Yes,Paranjape Blue Ridge,14000.0,236,0
2,2,0.0,Unfurnished,1,1,1,No,Bavdhan,20000.0,32,2
1,1,0.0,Unfurnished,0,0,0,No,Katraj,7000.0,132,2
2,1,0.0,Unfurnished,1,1,0,No,Nigdi,16000.0,214,2
2,2,850.0,Semifurnished,8,2,1,Yes,Nyati Elysia,24000.0,218,1
4,4,2500.0,Unfurnished,1,1,2,Yes,Manikchand Malabar Hills,40000.0,179,2
2,2,60.05,Semifurnished,1,1,0,Yes,Nivasa Udaan,17000.0,216,1
2,2,0.0,Furnished,2,0,0,No,Bavdhan,22000.0,32,0
3,3,1300.0,Unfurnished,4,1,1,Yes,Fortune East Society,19000.0,71,2
2,2,704.0,Semifurnished,8,1,2,Yes,Skyways Sereno,16500.0,298,1
3,4,0.0,Furnished,5,1,2,Yes,Lunkad Sky Vie,65000.0,164,0
2,2,1225.0,Furnished,5,1,0,No,Fortune East Society,23500.0,71,0
1,2,600.0,Unfurnished,1,1,0,Yes,Paranjape Blue Ridge,14000.0,236,2
2,2,800.0,Unfurnished,8,1,1,Yes,Splendor Megapolis,18000.0,301,2
2,2,945.0,Unfurnished,6,1,2,Yes,Paranjape Blue Ridge,21000.0,236,2
1,1,600.0,Furnished,2,1,2,Yes,Geras Adara,13000.0,87,0
3,3,1250.0,Semifurnished,4,1,1,Yes,Clover Highlands,32000.0,51,1
2,2,0.0,Semifurnished,1,1,0,No,Nyati Elan,12000.0,217,1
2,2,0.0,Semifurnished,7,1,1,Yes,Goel Ganga Constella,22500.0,96,1
2,2,737.0,Unfurnished,1,0,1,Yes,Duville Riverdale Heights,21000.0,65,2
1,1,550.0,Unfurnished,3,1,0,Yes,Hadapsar,10000.0,105,2
1,2,0.0,Unfurnished,4,1,2,Yes,DSK Sundarban Phase 1,10500.0,56,2
2,2,0.0,Furnished,4,1,0,No,Akurdi,18000.0,13,0
2,2,0.0,Furnished,1,1,2,No,Ideal Spacio,15000.0,111,0
3,3,1650.0,Semifurnished,8,0,0,No,Omega Paradise Phase 2,25000.0,225,1
1,2,0.0,Unfurnished,3,0,2,Yes,GK Dayal Heights,15500.0,72,2
2,2,0.0,Furnished,1,1,2,Yes,GK Vedanta,26000.0,78,0
3,3,1026.0,Unfurnished,5,1,2,Yes,Rohan Tarang,21000.0,279,2
2,2,0.0,Semifurnished,9,1,0,No,Kumar Paradise,20000.0,152,1
2,2,0.0,Semifurnished,8,1,0,No,Sai Paradise,16000.0,285,1
2,2,0.0,Unfurnished,3,1,0,No,Mittal Pebbles High Mont,16000.0,201,2
2,2,750.0,Semifurnished,9,1,2,Yes,Magarpatta Annex,16000.0,166,1
4,6,0.0,Furnished,7,1,2,Yes,Panchshil One North,24768.73599,230,0
1,1,500.0,Semifurnished,5,1,2,Yes,Raviraj Rakshaknagar Gold,12000.0,274,1
2,2,808.0,Unfurnished,3,1,2,Yes,Prem Mairah Residences,15000.0,250,2
2,2,0.0,Semifurnished,3,1,0,Yes,GK Dwarkadheesh Residency,20000.0,73,1
1,1,440.0,Furnished,5,1,2,Yes,Paranjape Blue Ridge,15000.0,236,0
2,2,0.0,Furnished,3,1,2,Yes,Magarpatta City Daffodils,19999.0,167,0
3,3,1000.0,Semifurnished,4,1,1,Yes,Pride Purple Park Ivory,25000.0,251,1
1,1,0.0,Unfurnished,1,1,1,Yes,Mantra 7 Hills,7500.0,183,2
2,2,680.0,Semifurnished,1,1,0,No,KFP Chesterfield,15000.0,118,1
2,2,0.0,Semifurnished,3,1,0,No,Godrej Infinity,21000.0,94,1
2,2,740.0,Unfurnished,5,1,2,No,Kumar Park Infinia,14000.0,153,2
1,1,480.0,Unfurnished,6,1,1,Yes,Nano Homes,12000.0,210,2
2,2,0.0,Furnished,0,1,0,Yes,Pimple Gurav,20000.0,246,0
1,1,29.02,Semifurnished,6,1,0,No,GK Dayal Heights,13000.0,72,1
3,3,940.0,Unfurnished,2,1,2,No,Pride Purple Sapphire Park,24500.0,253,2
3,3,0.0,Unfurnished,1,1,0,Yes,Goel Ganga Constella,28000.0,96,2
2,2,0.0,Semifurnished,1,1,2,Yes,Nyati Elysia,22000.0,218,1
2,2,720.0,Semifurnished,6,1,2,Yes,Palm Atlantis,9000.0,228,1
2,2,990.0,Semifurnished,2,1,0,Yes,Peninsula Ashok Meadows,20000.0,242,1
1,1,500.0,Semifurnished,4,1,0,No,Clover Village,17000.0,52,1
1,2,436.5,Semifurnished,4,1,1,No,Kohinoor Tinsel County,9900.0,136,1
